X,y
2.7587461,8.245979
5.0529337,13.061831
7.6970935,18.380938
5.8579054,13.186826
8.97657,20.02166
5.3263226,13.825904
4.955983,13.413471
0.7340038,5.479398
2.9418075,9.689372
8.098597,19.230816
3.126576,8.967272
8.921303,22.53451
8.184094,18.742455
5.7156982,15.16776
2.8869057,9.58268
7.6755514,18.43952
6.3563323,15.08566
7.0181074,16.095448
5.1501465,14.997853
0.79280376,3.3764997
0.755018,3.2815747
1.6514003,6.9432964
0.9053898,6.3453135
2.5126433,8.845404
4.59114,13.313893
6.2640038,16.084486
3.2592726,11.230684
4.972062,14.038147
9.941329,23.205153
3.0974627,7.530607
0.13283968,2.714369
4.946351,13.565483
6.307621,17.176962
7.876357,18.831675
5.8289585,16.075357
9.762981,23.908651
6.766177,16.797161
7.081375,15.867572
1.1426318,4.241465
9.775033,22.991062
5.658691,14.519133
9.558371,24.713474
4.3599606,12.166794
8.934717,20.480824
5.610192,14.371944
9.337929,22.710606
5.05577,13.819815
9.162527,20.141136
3.6405778,9.059572
8.281192,17.978994
1.3072884,5.6263123
9.151478,21.103006
9.363577,20.172455
2.0267725,6.936775
3.3136702,8.210535
1.6581011,7.28613
4.890176,13.471464
2.7174675,7.908958
7.5709286,18.541039
0.64273,4.958485
9.233402,22.839115
2.335633,7.4070077
7.4016094,17.313374
5.1154637,11.814049
2.1658885,7.402227
2.3234427,7.0359764
0.2896464,3.391313
4.63187,10.786098
7.9708233,19.949425
5.3526354,13.581328
8.438061,19.377317
1.5971744,7.2012987
5.200515,13.995075
9.364461,23.116423
0.86019397,3.1593742
6.430086,16.041798
0.7107246,5.170865
0.8787823,4.501127
2.158966,6.925942
0.44954896,2.5088065
5.403123,10.716214
9.057492,20.313528
7.2696486,17.400745
0.06595969,4.7353964
2.2856605,8.834245
0.035990477,3.4247499
7.540332,16.911818
9.092876,21.735023
2.812655,8.096104
6.3317432,16.28255
2.7525318,7.9002585
9.151631,23.56726
8.473486,21.824638
1.5629029,6.1879063
4.439455,11.95415
4.8906126,14.013046
8.223665,19.197392
7.790704,17.74589
9.313547,22.809402
1.9920993,4.9931493
